date,code,name,store_name,value
2023-01-05,8,米,otofuke,"40,169"
2023-01-05,8,米,ekimae,"52,249"
2023-01-05,55,タバコ,inada,"45,381"
2023-01-05,55,タバコ,otofuke,"35,228"
2023-01-05,55,タバコ,ekimae,"63,397"
2023-01-05,74,飲料,inada,"115,639"
2023-01-05,74,飲料,otofuke,"109,883"
2023-01-05,74,飲料,ekimae,"266,649"
2023-01-05,9,酒類,inada,"82,657"
2023-01-05,9,酒類,otofuke,"93,626"
2023-01-05,9,酒類,ekimae,"219,055"
2023-01-05,273,ワイン,inada,"11,025"
2023-01-05,273,ワイン,otofuke,"11,281"
2023-01-05,273,ワイン,ekimae,"101,366"
2023-01-05,274,ビール類,inada,"134,963"
2023-01-05,274,ビール類,otofuke,"78,142"
2023-01-05,274,ビール類,ekimae,"169,035"
2023-01-06,1,菓　子,inada,"169,111"
2023-01-06,1,菓　子,otofuke,"174,116"
2023-01-06,1,菓　子,ekimae,"508,904"
2023-01-06,2,嗜好品,inada,"63,447"
2023-01-06,2,嗜好品,otofuke,"48,413"
2023-01-06,2,嗜好品,ekimae,"185,315"
2023-01-06,3,調味料,inada,"131,503"
2023-01-06,3,調味料,otofuke,"137,712"
2023-01-06,3,調味料,ekimae,"213,409"
2023-01-06,4,調理素材,inada,"23,189"
2023-01-06,4,調理素材,otofuke,"25,653"
2023-01-06,4,調理素材,ekimae,"47,567"
2023-01-06,5,クイックフーズ,inada,"135,853"
2023-01-06,5,クイックフーズ,otofuke,"138,099"
2023-01-06,5,クイックフーズ,ekimae,"282,858"
2023-01-06,6,グロサリーギフト,inada,"1,800"
2023-01-06,6,グロサリーギフト,otofuke,"3,400"
2023-01-06,6,グロサリーギフト,ekimae,"1,695"
2023-01-06,7,銘店,otofuke,"2,735"
2023-01-06,7,銘店,ekimae,"24,334"
2023-01-06,8,米,inada,"50,647"
2023-01-06,8,米,otofuke,"49,096"
2023-01-06,8,米,ekimae,"56,892"
2023-01-06,55,タバコ,inada,"52,534"
2023-01-06,55,タバコ,otofuke,"35,111"
2023-01-06,55,タバコ,ekimae,"89,704"
2023-01-06,74,飲料,inada,"128,004"
2023-01-06,74,飲料,otofuke,"126,687"
2023-01-06,74,飲料,ekimae,"295,535"
2023-01-06,9,酒類,inada,"86,423"
2023-01-06,9,酒類,otofuke,"101,349"
2023-01-06,9,酒類,ekimae,"271,570"
2023-01-06,273,ワイン,inada,"14,275"
2023-01-06,273,ワイン,otofuke,"13,537"
2023-01-06,273,ワイン,ekimae,"103,131"
2023-01-06,274,ビール類,inada,"89,633"
2023-01-06,274,ビール類,otofuke,"107,328"
2023-01-06,274,ビール類,ekimae,"175,839"
2023-01-07,1,菓　子,inada,"198,703"
2023-01-07,1,菓　子,otofuke,"194,420"
2023-01-07,1,菓　子,ekimae,"544,754"
2023-01-07,2,嗜好品,inada,"74,335"
2023-01-07,2,嗜好品,otofuke,"61,634"
2023-01-07,2,嗜好品,ekimae,"185,830"
2023-01-07,3,調味料,inada,"165,317"
2023-01-07,3,調味料,otofuke,"128,832"
2023-01-07,3,調味料,ekimae,"211,371"
2023-01-07,4,調理素材,inada,"21,929"
2023-01-07,4,調理素材,otofuke,"24,190"
2023-01-07,4,調理素材,ekimae,"39,476"
2023-01-07,5,クイックフーズ,inada,"158,165"
2023-01-07,5,クイックフーズ,otofuke,"143,300"
2023-01-07,5,クイックフーズ,ekimae,"299,806"
2023-01-07,6,グロサリーギフト,otofuke,"1,600"
2023-01-07,6,グロサリーギフト,ekimae,"1,080"
2023-01-07,7,銘店,otofuke,"3,575"
2023-01-07,7,銘店,ekimae,"11,452"
2023-01-07,8,米,inada,"71,590"
2023-01-07,8,米,otofuke,"45,689"
2023-01-07,8,米,ekimae,"48,271"
2023-01-07,55,タバコ,inada,"44,091"
2023-01-07,55,タバコ,otofuke,"13,959"
2023-01-07,55,タバコ,ekimae,"57,439"
2023-01-07,74,飲料,inada,"122,586"
2023-01-07,74,飲料,otofuke,"119,121"
2023-01-07,74,飲料,ekimae,"329,906"
2023-01-07,9,酒類,inada,"100,197"
2023-01-07,9,酒類,otofuke,"112,226"
2023-01-07,9,酒類,ekimae,"302,544"
2023-01-07,273,ワイン,inada,"15,708"
2023-01-07,273,ワイン,otofuke,"21,721"
2023-01-07,273,ワイン,ekimae,"120,893"
2023-01-07,274,ビール類,inada,"188,353"
2023-01-07,274,ビール類,otofuke,"101,641"
2023-01-07,274,ビール類,ekimae,"245,021"
2023-01-08,1,菓　子,inada,"181,806"
2023-01-08,1,菓　子,otofuke,"228,567"
2023-01-08,1,菓　子,ekimae,"421,401"
2023-01-08,2,嗜好品,inada,"61,253"
2023-01-08,2,嗜好品,otofuke,"85,656"
2023-01-08,2,嗜好品,ekimae,"117,027"
2023-01-08,3,調味料,inada,"129,758"
2023-01-08,3,調味料,otofuke,"163,393"
2023-01-08,3,調味料,ekimae,"178,057"
2023-01-08,4,調理素材,inada,"24,370"
2023-01-08,4,調理素材,otofuke,"34,389"
2023-01-08,4,調理素材,ekimae,"36,558"
2023-01-08,5,クイックフーズ,inada,"154,864"
2023-01-08,5,クイックフーズ,otofuke,"188,402"
2023-01-08,5,クイックフーズ,ekimae,"252,302"
2023-01-08,6,グロサリーギフト,inada,"1,800"
2023-01-08,6,グロサリーギフト,otofuke,"2,000"
2023-01-08,6,グロサリーギフト,ekimae,"3,800"
2023-01-08,7,銘店,otofuke,"13,030"
2023-01-08,7,銘店,ekimae,"21,912"
